ParSel;Esp;type
57a1bd8a695514000efde183;Eptnil;FP
5ee484adb46711000f1bf7b9;MyoGT;FP
58289687b5a1dc000faf5ade;Nycnoc;FP
5bd1aba36b6b19000da549a7;Nycnoc;FP
5d72154606f350000f1ef62f;Nycnoc;FP
5f1ff563be3d43000faaf8c9;Nyclei;FP
59f041ade1dd93000d3b4c02;Nyclas;FP
5df89aba1f0f00000d879c96;Pleaur;FP
59c239e9c280c3000f3618f9;Eptnil;FP
5e5d2a65e5814f000efecf74;Nycnoc;FP
5f33dab44199bb000fe38ff3;Tadten;FP
5c0e5a9786d9b4000d87de02;Nyclas;FP
5b2770cb475010000f5a21c4;Eptnil;FP
5b1d0d910e7a7cbc0800f36f;Eptnil;FP
5e752ea5e5c67d0010d4b872;Tadten;FP
5d6637edc05d85000f578e73;Nycnoc;FP
5db701c8c8c319000d2e6f4c;Eptser;FP
5631e9852bb00f000ec34874;Pleaus;FP
5d4454ec97672d000dad7668;Tadten;FP
59f6db55dc55a5000e6e18cf;MyoGT;FP
57f2b883df2a5e000c913341;Nyclei;FP
57bac87aec17be000eea303c;Nycnoc;FP
5828a42cb5a1dc000ec68c03;Tadten;FP
5dadc8572d0ad2000e9ca75a;Eptnil;FP
562dca04439fcf000d97595e;Pleaus;FP
5f80578bcf4f41000f55a526;Nyclas;FP
5b2776df475010000e5a3d52;Plemac;FP
5f2aa6a14c6c7b0011d79a17;Nycnoc;FP
5f56097e333c4400101cedba;Pleaur;FP
5f98243f350f6b000f8055bb;Pleaur;FP
5b7fad411822c3000d358d3d;Plemac;FP
5fa2b74f7786e20011ca3afc;MyoGT;FP
5edf88b1684aad000f0b260f;MyoGT;FP
5f60b4c51fe1e2000f4ffb6f;Tadten;FP
5b8025a81822c3000e015692;Tadten;FP
5f5a444099ff4e00108626b1;MyoGT;FP
5f1f41f94e6b07000f444219;Eptnil;FP
5d0a33a83b0a20000e96b69d;Eptnil;FP
57efb73c590e27000e1525e7;Pleaur;FP
57cbd1d6815ace000cc48bd3;Nyclas;FP
59f785d89e27a3000ff1b22d;Nycnoc;FP
5f3ecf0f0e8862000f2149fe;Nyclei;FP
5b978ab7200b27000f56c749;Pleaur;FP
5ce69495227b49000edd311d;Plemac;FP
5d24894da6dfdf000f9bbf14;MyoGT;FP
59c3c206d689a2000f3a0e4e;Eptnil;FP
5bb5b9660eb4fc000dcd0dbe;Nyclei;FP
595f85b00e7a7c7004057024;Pleaur;FP
59ca48e8a65d3a000d3bfb9a;Nyclei;FP
5b0fb104fa489b000d5a08eb;Nycnoc;FP
5e8781baaa235a000f2ce2d9;Tadten;FP
57586de0bcc79b000d7d4619;Pleaur;FP
5f105cf4027df0000f2af6b6;Pleaur;FP
59b639d08c0621000e1cd747;Pleaur;FP
5b78548c8994b1000d58b56b;Nyclei;FP
564dc854f30a4c000e3093cd;Nyclei;FP
595f85ae0e7a7c7004056f8e;Tadten;FP
5f64562864bd980011a2754f;Eptnil;FP
5f5f29f7f738e3001102b277;Eptnil;FP
5f9847a2bee95c0011a5c3bd;Pleaur;FP
596f3a48ec423d000f7d6f1e;Eptser;FP
5f219e962e4b1000119007bb;Nycnoc;FP
5da0578d825c65000f7eb65c;Nycnoc;FP
5f106556ef3375000f0d73b1;Nyclei;FP
5ab8eb7b5d4d3fa86e00007f;Nyclei;FP
5d9744a20300b0000e627a8f;Nyclei;FP
5e7281dba906f4000dc9b508;Tadten;FP
5d513a0de3a7db000daa405d;Plemac;FP
5d80894efa96827c1f000029;Eptnil;FP
5f509b409fcefa000f176ff9;Pleaur;FP
5b922ddd97a8e9000decd2ac;Plemac;FP
5f64b634cdbc6f001096cef2;Eptnil;FP
5f5a83c599ff4e001164e21f;Pleaus;FP
5d61385c2f3576000dcb23c1;MyoGT;FP
5cd40c6ea8ff5c000ec9b0ae;Pleaus;FP
5e94b5794d5a5a00118d286a;Pleaur;FP
5f49004634999f0010343631;Nycnoc;FP
5ee0dde01f3b220010cd76fc;Nyclas;FP
5f19b27c941aad001084305d;Eptser;FP
5f00cba8dee4160010667656;Plemac;FP
58319c9c405b0e000f097961;Pleaus;FP
5f9824d9350f6b000f8055c3;Pleaur;FP
5b979faa200b27000f56dc34;Nycnoc;FP
5f4e728195a98d000fdca7c8;MyoGT;FP
5b9e76c2ae35ae000dadf2f8;Tadten;FP
5fa1664798d0ed001083b19e;Nycnoc;FP
5db9a2c4c17eca000d5fff79;Pleaus;FP
5b573cf9205675000f60a700;Eptser;FP
5f1aaea9a7309b001193e1a4;Nycnoc;FP
5d3aacbe21c426000f854db5;Eptnil;FP
5f49007034999f000fb59931;Eptnil;FNl
5e2969f267c400000fa2698a;Nyclei;FNl
5e664e5a046aaaf01700003f;Pleaur;FNl
59a5b92bb711e4000ebf8947;Nyclei;FNl
59b94a5300363e000da89e41;Nycnoc;FNl
5931649f860c41000f39122d;Tadten;FNl
5f180ce410a1dd000fd7f476;Pleaur;FNl
57f2b7f0eed08a000c8984ee;Pleaur;FNl
5b5eeccf80164f000e470264;Pleaur;FNl
59ada2d8ac0016000fbb13ab;Nyclei;FNl
577cfbdf44a22e000e697fa4;Nyclei;FNl
5ba9e6f72f5eee000d1afb30;Tadten;FNl
5f859d0cafe3b0001004acfd;Eptnil;FNl
5d56e49996f07a000d6227a6;Eptnil;FNl
5b7e5ba7d2aa6b000db9955d;Pleaur;FNl
5db00d835d8c99000eb2e9c1;Eptser;FNl
5ba364bfdad2ec0016f7e6d9;Nycnoc;FNl
595f83128d1d837c1b0575f8;Nycnoc;FNl
5d3718ced6f2bf000e016ce5;Nyclei;FNl
59282db8b1c3ce000fd0d525;Nyclei;FNl
5d6fadfc50a98b000e648f94;Nyclei;FNl
5ee9213df34e0b000fde99db;Tadten;FNl
5f3a9cd3f5ff4a0011f803d3;Plemac;FNl
57efb39e131d0a000d1cd0b1;Eptnil;FNl
5f23ec0eaabe14000f8ae8b1;Pleaur;FNl
57bae6dcec17be000c4d72a5;Plemac;FNl
5d67d151ab74a1000d23df76;Eptnil;FNl
5e664e5b046aaaf01700009f;Pleaus;FNl
5d0a4ae6a8a969000eae7831;MyoGT;FNl
5f2978c36ce9080011c55d92;Pleaus;FNl
57037288859abc000dc30e5c;Pleaur;FNl
5dc523d23a245a000f03b12f;Nycnoc;FNl
57ab320c0e51a9000c0cfe03;Nyclas;FNl
5ca283b97bfae8000ddae8a6;Eptser;FNl
5fb4e64a03ccdc000f027f03;Plemac;FNl
595f83128d1d837c1b0575f6;Pleaus;FNl
5fb23471d2ff54001137556d;Pleaur;FNl
5baa01762f5eee000e11194c;Nycnoc;FNl
5d5ebf688ad162000f1c45d9;MyoGT;FNl
5dc54331b2f7ae000dab7323;Tadten;FNl
5f621a753f50ed00102410d6;Nycnoc;FNl
578e64205efb26000d01010e;Pleaus;FNl
58179f5b460bba000d4bb32c;Eptser;FNl
5d5ebb6c8ad162000ebbdc8c;Nycnoc;FNl
599edf70cbb22f000d60874a;Eptnil;FNl
